open,high,low,close,lowerlow,m_lowerlow
19018.68108149101,19095.5,19000.0,19051.775,0.0,0
19035.228040745504,19075.3,18950.8,19036.375,0.0,0
19035.801520372752,19118.0,19008.4,19074.625,0.0,0
19055.213260186378,19103.8,19055.213260186378,19083.275,0.0,0
19069.24413009319,19096.2,19043.4,19072.5,0.0,0
19070.872065046595,19200.0,19070.872065046595,19136.6,0.0,0
19103.73603252329,19220.0,19103.73603252329,19193.375,0.0,0
19148.555516261647,19218.2,19148.555516261647,19202.425000000003,0.0,0
19175.490258130827,19250.0,19175.490258130827,19212.575,0.0,0
19194.03262906541,19228.9,19152.0,19195.075,0.0,0
19194.55381453271,19194.55381453271,19128.1,19163.625,0.0,0
19179.089407266358,19204.8,19139.5,19170.2,0.0,0
19174.644703633177,19200.5,19116.7,19158.425,0.0,0
19166.53485181659,19173.0,19129.2,19150.625,0.0,0
19158.57992590829,19203.6,19150.0,19169.0,0.0,0
19163.789962954143,19199.7,19146.4,19169.525,0.0,0
19166.657481477072,19186.8,19151.0,19169.475,0.0,0
19168.06624073853,19168.06624073853,19108.9,19138.675,0.0,0
19153.370620369267,19153.370620369267,19091.0,19113.5,0.0,0
19133.435310184635,19133.435310184635,19084.0,19109.25,0.0,0
19121.34265509232,19132.3,19090.0,19108.125,0.0,0
19114.73382754616,19114.73382754616,19054.1,19079.775,0.0,0
19097.25441377308,19117.4,19061.3,19088.700000000004,0.0,0
19092.977206886542,19166.0,19092.977206886542,19131.550000000003,0.0,0
19112.263603443276,19281.7,19112.263603443276,19206.825,0.0,0
19159.54430172164,19309.9,19159.54430172164,19246.95,0.0,0
19203.24715086082,19243.2,19185.8,19214.4,0.0,0
19208.82357543041,19213.7,19168.7,19188.300000000003,0.0,0
19198.561787715207,19210.0,19150.0,19179.0,0.0,0
19188.780893857605,19233.9,19137.3,19186.525,0.0,0
19187.652946928803,19229.6,19180.0,19202.75,0.0,0
19195.201473464404,19226.6,19166.4,19197.5,0.0,0
19196.3507367322,19208.0,19167.6,19187.2,0.0,0
19191.7753683661,19192.2,19155.5,19182.475,0.0,0
19187.12518418305,19207.0,19170.0,19193.45,0.0,0
19190.287592091525,19215.5,19180.4,19196.75,0.0,0
19193.51879604576,19200.0,19177.4,19187.85,0.0,0
19190.68439802288,19190.68439802288,19137.6,19168.5,0.0,0
19179.59219901144,19179.59219901144,19150.9,19165.675000000003,0.0,0
19172.633599505723,19186.4,19142.6,19162.55,0.0,0
19167.59179975286,19175.6,19116.3,19152.775,0.0,0
19160.18339987643,19171.7,19124.5,19149.575,0.0,0
19154.879199938216,19164.3,19126.3,19146.225,1.0,1
19150.552099969107,19211.6,19150.552099969107,19182.125,0.0,0
19166.338549984557,19226.6,19166.338549984557,19207.025,0.0,0
19186.68177499228,19242.5,19186.68177499228,19218.7,0.0,0
19202.690887496137,19215.0,19177.0,19201.075,0.0,0
19201.882943748067,19226.6,19191.8,19205.225,0.0,0
19203.553971874037,19250.0,19180.1,19218.4,0.0,0
19210.976985937017,19249.1,19200.0,19225.95,0.0,0
19218.46349296851,19227.8,19199.3,19212.35,0.0,0
19215.40674648425,19233.9,19180.6,19204.675,0.0,0
19210.040873242127,19277.3,19193.8,19228.275,0.0,0
19219.157936621064,19333.0,19219.157936621064,19279.55,0.0,0
19249.353968310534,19319.0,19228.7,19269.875,0.0,0
19259.614484155267,19299.8,19126.8,19212.675,0.0,0
19236.14474207763,19245.6,19150.0,19187.925,0.0,0
19212.034871038813,19317.9,19170.4,19224.65,0.0,0
19218.342435519407,19485.0,19218.342435519407,19337.925,0.0,0
19278.1337177597,19453.5,19278.1337177597,19407.275,0.0,0
19342.70435887985,19436.2,19342.70435887985,19406.125,0.0,0
19374.414679439928,19482.8,19374.414679439928,19425.05,0.0,0
19399.732339719965,19489.9,19396.5,19431.550000000003,0.0,0
19415.641169859984,19429.0,19333.0,19379.5,0.0,0
19397.570584929992,19397.570584929992,19315.4,19342.7,0.0,0
19370.135292465,19409.1,19329.9,19358.575,0.0,0
19364.355146232498,19383.2,19300.1,19348.475,0.0,0
19356.415073116248,19398.3,19335.8,19362.625,0.0,0
19359.52003655813,19412.8,19356.7,19386.05,0.0,0
19372.785018279064,19476.0,19372.785018279064,19431.875,0.0,0
19402.33000913953,19596.7,19402.33000913953,19492.35,0.0,0
19447.340004569764,19571.7,19447.340004569764,19536.15,0.0,0
19491.745002284883,19588.0,19491.745002284883,19552.95,0.0,0
19522.34750114244,19640.6,19522.34750114244,19575.825,0.0,0
19549.08625057122,19636.5,19549.08625057122,19597.4,0.0,0
19573.24312528561,19626.7,19567.9,19600.25,0.0,0
